"text","inputModeHint","isForAnotherPersonHint","actionType","postNature","targetAudience","postInputMode","locationSharingMode","dangerLevel","helpType","requesterProfile","helpInputMode","presetMessageKey","needsAudioGuidance","needsVisualSupport","needsPhysicalAssistance","needsSimpleLanguage","isForAnotherPerson"
"rampe cassee devant mairie svp","keyboard","false","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","false","false","true","true","false"
"info utile centre accesib pr tous","voice","false","create_post","information","all","voice","approximate","none","none","none","none","none","false","false","false","true","false"
"conseil traversez au feu vert seulement","keyboard","false","create_post","conseil","all","keyboard","none","low","none","none","none","none","false","false","false","true","false"
"temoignage bus 12 no access wheel chair","vibration","false","create_post","temoignage","motor","vibration","approximate","medium","none","none","none","none","false","false","true","true","false"
"alerte trou tres dangreux trottoire","headEyes","false","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","false","true","true","true","false"
"je signale feu pieton sans son","voice","false","create_post","signalement","visual","voice","precise","medium","none","none","none","none","true","false","false","true","false"
"new info pharmacie accessible","keyboard","false","create_post","information","all","keyboard","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil pour aidant accompagner malvoyant","deafBlind","false","create_post","conseil","caregiver","deafBlind","none","low","none","none","none","none","true","true","false","true","false"
"temoignage cafe inclusif top service","keyboard","false","create_post","temoignage","all","keyboard","none","none","none","none","none","none","false","false","false","false","false"
"alerte escalier glissant a l entree","voice","false","create_post","alerte","all","voice","precise","critical","none","none","none","none","false","true","true","true","false"
"signalement ascenseur panne metro","keyboard","false","create_post","signalement","motor","keyboard","approximate","medium","none","none","none","none","false","false","true","true","false"
"information event accessible ce weekend","caregiver","true","create_post","information","caregiver","caregiver","none","none","none","none","none","none","false","false","false","true","true"
"conseil simple pour evacuer calmement","keyboard","false","create_post","conseil","cognitive","keyboard","none","low","none","none","none","none","false","true","false","true","false"
"temoignage signaletique audio tres aide","voice","false","create_post","temoignage","visual","voice","none","none","none","none","none","none","true","false","false","false","false"
"alert ya3ni danger fi station bus","headEyes","false","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","false","false","true","true","false"
"signalement trottoir bloque by moto","keyboard","false","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","false","false","true","true","false"
"info: medecin place now accessible","voice","false","create_post","information","all","voice","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil keep left pour canne blanche","voice","false","create_post","conseil","visual","voice","none","low","none","none","none","none","true","false","false","true","false"
"temoignage guichet difficile pr sourd","deafBlind","false","create_post","temoignage","hearing","deafBlind","none","low","none","none","none","none","false","true","false","true","false"
"alerte agression pres arret bus","vibration","false","create_post","alerte","all","vibration","precise","critical","none","none","none","none","false","false","true","true","false"
"signalement passage pieton efface","keyboard","false","create_post","signalement","all","keyboard","precise","low","none","none","none","none","false","false","false","true","false"
"information ascenseur repare hamdoulah","voice","false","create_post","information","all","voice","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil pour caregiver speak slowly","caregiver","true","create_post","conseil","caregiver","caregiver","none","low","none","none","none","none","false","true","false","true","true"
"temoignage nice staff fi baladia","keyboard","false","create_post","temoignage","all","keyboard","none","none","none","none","none","none","false","false","false","false","false"
"alerte marche casse zone school","headEyes","false","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","false","true","true","true","false"
"signalement access denied fauteuil","vibration","false","create_post","signalement","motor","vibration","approximate","medium","none","none","none","none","false","false","true","true","false"
"information parking PMR dispo","keyboard","false","create_post","information","motor","keyboard","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil phrase courte svp","keyboard","false","create_post","conseil","cognitive","keyboard","none","low","none","none","none","none","false","true","false","true","false"
"temoignage entree sans rampe hier","voice","false","create_post","temoignage","motor","voice","approximate","medium","none","none","none","none","false","false","true","true","false"
"alerte trottoir inonde tres risky","voice","false","create_post","alerte","all","voice","precise","critical","none","none","none","none","false","false","true","true","false"
"signalement borne ticket trop haute","headEyes","false","create_post","signalement","motor","headEyes","precise","medium","none","none","none","none","false","false","true","true","false"
"info arabe translit: masar mzyan","keyboard","false","create_post","information","all","keyboard","approximate","none","none","none","none","none","false","false","false","false","false"
"conseil pour deaf user ecrire clair","caregiver","true","create_post","conseil","hearing","caregiver","none","low","none","none","none","none","false","true","false","true","true"
"temoignage file attente longue mais ok","keyboard","false","create_post","temoignage","all","keyboard","none","none","none","none","none","none","false","false","false","false","false"
"alerte rail expose fi rue","vibration","false","create_post","alerte","all","vibration","precise","critical","none","none","none","none","false","true","true","true","false"
